planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
12200307,Reinickes Hof,130,123,74,1,2,5,69,0,51,0,617.072463768116,586.0,221.46,387.0,387.0,,654.0,654.0,,,,,,,,868.0,901.0,173.55
12200308,Mellerbogen,169,155,83,0,2,12,71,1,37,1,672.9014084507043,641.0,166.4,,,,622.0,622.0,,717.0,717.0,,716.687,716.687,,842.0,777.0,216.74
12200309,Scharnweberstraße,408,384,200,5,14,10,178,9,113,8,623.3595505617977,618.5,163.29,525.6666666666666,593.0,129.83,600.0,620.0,123.6,695.4285714285714,692.0,67.78,772.2781111111112,727.717,176.9,799.5,733.0,189.69
12200310,Klixstraße,268,256,148,1,5,7,121,2,77,2,627.7933884297521,582.0,198.43,,,,625.0,625.0,15.56,760.0,760.0,,773.5585,773.5585,19.39,1024.0,905.0,530.79
12200411,Schumacher-Quartier,24,18,6,0,5,1,5,1,3,1,641.0,595.0,167.23,,,,585.0,594.0,92.83,672.0,672.0,,672.517,672.517,,887.0,887.0,
12200412,Waldidyll/Flughafensee,238,213,125,4,13,12,108,3,74,2,616.8703703703703,563.0,207.48,573.0,561.0,108.5,502.3333333333333,491.0,21.39,982.5,842.0,374.3,780.2779999999999,738.713,180.82,932.1,823.0,420.69
12200413,Tegel Süd,280,271,167,5,5,4,147,1,107,1,598.7755102040817,550.0,189.48,499.8,457.0,127.54,606.0,606.0,104.65,704.5,704.5,232.64,748.493,748.493,,1368.75,1319.5,395.0
12200414,TXL,91,82,45,1,6,3,36,3,17,3,683.0,679.5,198.19,404.0,404.0,,441.0,441.0,227.69,775.0,775.0,,687.8326666666667,665.664,58.95,142.0,142.0,
12200515,Alt-Tegel,701,667,367,4,11,22,307,2,235,2,534.8957654723127,464.0,230.5,295.3333333333333,275.0,54.43,555.2,422.0,217.3,616.6666666666666,689.0,237.9,831.2755,831.2755,29.81,770.3888888888889,542.5,461.6
12400616,Konradshöhe/Tegelort,183,177,103,3,1,5,73,0,58,0,558.6712328767123,524.0,187.85,691.3333333333334,578.0,215.63,,,,,,,,,,1195.6666666666667,1087.0,589.56
12400617,Alt-Heiligensee,177,165,104,1,4,8,77,3,17,1,787.5064935064935,745.0,184.16,667.0,667.0,,,,,902.25,879.5,93.27,1051.7246666666667,1071.837,153.51,1560.6666666666667,1657.0,344.75
12400618,Heiligensee Nord,106,100,53,0,2,4,45,0,11,0,789.0,787.0,152.05,,,,604.0,604.0,,,,,,,,877.0,757.0,241.5
12400619,Heiligensee,174,164,103,1,2,8,84,0,25,0,741.0119047619048,728.5,164.45,,,,887.0,887.0,,,,,,,,1422.6,1584.0,340.18
12400720,Frohnau West,241,227,135,3,4,10,102,1,30,0,741.5294117647059,708.5,237.13,652.6666666666666,583.0,139.25,795.3333333333334,865.0,175.22,981.0,981.0,,980.617,980.617,,1104.5,1177.0,356.79
12400721,Frohnau Ost,221,203,104,2,6,12,86,3,54,0,645.2790697674419,618.0,177.12,628.0,628.0,16.97,703.25,676.0,169.81,1044.0,1044.0,165.46,972.667,955.524,44.43,994.3333333333334,853.5,459.77
12400722,Hermsdorf West,258,200,125,6,4,9,109,1,83,0,555.4220183486239,520.0,196.76,420.6,430.0,54.7,720.5,720.5,304.76,1120.6666666666667,1182.0,122.15,1181.994,1181.994,,1164.75,1221.5,481.08
12400723,Hermsdorf Ost/Waldsee,207,198,107,2,5,4,92,0,73,0,581.75,572.5,160.23,531.0,531.0,,505.0,505.0,,,,,,,,568.5,544.0,116.87
12500824,Ziekowstraße/Freie Scholle,332,311,173,4,6,15,155,1,104,1,637.7806451612903,569.0,267.04,590.3333333333334,580.0,151.76,554.0,566.0,25.24,544.0,544.0,,688.127,688.127,,884.2,978.0,314.38
12500825,Borsigwalde,270,241,139,5,17,12,126,9,103,7,551.3174603174604,526.5,143.55,443.25,427.5,75.98,618.1428571428571,586.5,140.83,683.5,596.5,182.48,808.4895555555554,814.45,168.22,950.9,988.0,356.33
