district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
91003,Baumschulenweg,1567,1481,1123,23,45,40,1012,15,461,14,667.3,641.5,182.64,515.14,523.0,102.11,658.56,651.0,135.15,665.67,687.0,97.89,774.73,773.2,188.73,791.55,721.0,296.99
91004,Johannisthal,1592,1483,1114,18,53,55,1006,7,597,6,624.43,584.0,218.76,496.56,496.0,58.65,622.14,573.0,248.74,704.6,600.0,278.03,742.6,714.35,151.7,724.74,635.5,318.92
92005,Oberschöneweide,1808,1689,1206,14,65,54,1084,16,397,12,699.99,669.0,191.43,584.5,580.0,132.7,644.32,653.0,124.05,681.67,704.0,112.55,817.75,772.17,195.42,884.08,837.0,333.78
92006,Niederschöneweide,1484,1411,1024,19,37,35,926,5,478,4,657.04,618.0,211.81,564.46,546.0,141.51,625.82,544.5,252.13,610.0,561.0,173.58,743.87,664.14,181.68,776.21,704.0,312.32
92007,Adlershof,1634,1503,1104,11,66,65,966,18,415,14,664.9,649.0,184.8,529.0,530.5,88.41,626.81,602.0,130.01,685.58,624.5,204.12,821.25,751.45,240.93,855.4,740.0,430.32
92008,Köllnische Vorstadt/Spindlersfeld,842,774,579,10,31,36,513,8,282,5,644.79,608.0,201.75,547.25,550.0,82.78,663.05,620.0,195.73,766.25,753.5,227.33,828.56,771.21,123.48,951.78,880.0,293.42
93009,Altglienicke,1817,1708,1253,16,54,54,1081,11,289,8,759.21,740.0,206.83,610.17,628.5,183.53,671.83,684.5,144.05,812.92,829.0,142.05,834.04,829.07,91.3,1061.92,933.0,382.04
93010,Bohnsdorf,1208,949,708,10,49,42,578,24,281,10,690.29,624.0,245.25,535.22,468.0,134.66,754.39,733.0,117.68,947.11,944.0,107.91,958.86,932.41,165.66,1132.81,1118.0,438.64
93011,Grünau,687,641,460,4,20,26,385,4,145,2,713.46,679.0,213.36,673.5,673.5,4.95,648.86,654.0,261.73,892.33,883.0,51.64,969.83,918.88,156.52,770.12,716.5,445.65
93012,Schmöckwitz,271,246,175,2,9,16,138,1,8,0,938.01,880.5,247.71,,,,692.0,670.0,63.91,,,,990.47,990.47,,1225.75,1243.0,381.24
94013,Köpenick Süd,858,803,588,12,28,26,502,7,181,4,722.2,678.0,227.89,646.0,592.5,254.88,766.21,663.0,234.22,768.2,713.0,221.23,1043.72,888.42,321.76,999.86,844.0,331.16
94014,Allende-Viertel,1236,1010,762,11,22,23,659,7,359,7,625.86,605.0,191.91,507.17,467.5,231.22,732.86,706.0,228.21,715.12,717.5,70.12,786.87,799.37,51.12,938.42,774.0,359.6
94015,Altstadt Köpenick,675,641,438,8,12,22,373,3,246,1,590.99,547.0,219.42,462.75,452.0,63.17,570.67,564.5,80.08,957.0,957.0,90.51,1010.6,1016.18,196.83,756.11,645.0,292.56
94016,Müggelheim,353,316,248,5,5,32,207,0,44,0,877.32,844.0,288.44,620.0,620.0,93.34,612.5,612.5,77.07,1004.0,1004.0,,,,,832.86,803.5,392.35
95017,Friedrichshagen,1500,1432,1059,14,23,43,875,2,419,0,664.0,642.0,217.2,549.2,555.0,139.19,576.92,621.0,160.6,1171.5,1171.5,55.86,1171.61,1171.61,55.71,905.43,783.0,329.09
95018,Rahnsdorf,663,618,454,9,14,29,359,4,218,0,622.77,582.0,205.6,515.71,501.0,79.64,742.25,726.0,90.91,1397.0,1292.0,226.55,1319.68,1269.58,177.26,749.93,777.0,316.9
95019,Dammvorstadt,1090,1012,750,9,34,44,674,6,439,2,608.78,569.0,195.92,398.0,388.0,53.87,681.64,692.0,142.78,760.57,660.0,291.86,996.45,1013.55,187.07,938.97,688.0,437.24
95020,Köpenick Nord,938,887,655,9,16,35,579,1,235,0,698.62,665.0,197.58,509.29,475.0,174.95,654.45,599.0,140.86,719.33,757.0,168.68,1042.68,1042.68,,1125.86,1165.0,355.82
