,mission_date,mission_type,dispatchcode_category,dispatchcode_criticality,mission_location_district,response_time,units_non_berlin_involed,units_several_involved,units_reinforcements_called,units_organisations,firstresponder_alarmed,firstresponder_indication,firstresponder_first_arrival,units_first_type,emergency_doctor_involved
144,2026-01-01,Rettungsdienst,01,C,Reinickendorf,711.0,False,False,False,ORG_MHD,False,False,False,RTW-C,False
145,2026-01-01,Rettungsdienst,01,C,Mitte,508.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
146,2026-01-01,Rettungsdienst,01,C,Tempelhof-Schöneberg,1046.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
147,2026-01-01,Rettungsdienst,01,C,Neukölln,549.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
148,2026-01-01,Rettungsdienst,01,C,Neukölln,464.0,False,False,False,ORG_DRK,False,False,False,RTW-C,False
149,2026-01-01,Rettungsdienst,01,C,Charlottenburg-Wilmersdorf,411.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
150,2026-01-01,Rettungsdienst,01,C,Reinickendorf,1232.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
151,2026-01-01,Rettungsdienst,01,C,Steglitz-Zehlendorf,954.0,False,False,False,ORG_DRK,False,False,False,RTW-C,False
152,2026-01-01,Rettungsdienst,01,C,Steglitz-Zehlendorf,709.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
153,2026-01-01,Rettungsdienst,01,C,Mitte,462.0,False,False,False,ORG_BW,False,False,False,RTW-BW,False
154,2026-01-01,Rettungsdienst,01,C,Reinickendorf,445.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
155,2026-01-01,Rettungsdienst,01,C,Tempelhof-Schöneberg,833.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
156,2026-01-01,Rettungsdienst,01,C,Spandau,805.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
157,2026-01-01,Rettungsdienst,01,C,Steglitz-Zehlendorf,946.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
158,2026-01-01,Rettungsdienst,01,C,Friedrichshain-Kreuzberg,,False,True,False,"ORG_JUH, ORG_BFW",False,False,False,RTW-C,False
159,2026-01-01,Rettungsdienst,01,C,Spandau,688.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
160,2026-01-01,Rettungsdienst,01,C,Mitte,558.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
161,2026-01-01,Rettungsdienst,01,C,Spandau,1092.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
162,2026-01-01,Rettungsdienst,01,C,Neukölln,502.0,False,False,False,ORG_JUH,False,False,False,RTW-C,False
163,2026-01-01,Rettungsdienst,01,C,Friedrichshain-Kreuzberg,1170.0,False,False,False,ORG_DRK,False,False,False,RTW-B,False
164,2026-01-01,Rettungsdienst,01,C,Charlottenburg-Wilmersdorf,800.0,False,False,False,ORG_DRK,False,False,False,RTW-C,False
165,2026-01-01,Rettungsdienst,01,C,Tempelhof-Schöneberg,1289.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
166,2026-01-01,Rettungsdienst,01,C,Charlottenburg-Wilmersdorf,681.0,False,False,False,ORG_DRK,False,False,False,RTW-B,False
167,2026-01-01,Rettungsdienst,01,C,Pankow,441.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
168,2026-01-01,Rettungsdienst,01,C,Treptow-Köpenick,450.0,False,False,False,ORG_ASB,False,False,False,RTW-C,False
169,2026-01-01,Rettungsdienst,01,C,Lichtenberg,320.0,False,False,False,ORG_ASB,False,False,False,RTW-C,False
170,2026-01-01,Rettungsdienst,01,C,Mitte,400.0,False,False,False,ORG_DRK,False,False,False,RTW-C,False
171,2026-01-01,Rettungsdienst,01,C,Treptow-Köpenick,526.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
172,2026-01-01,Rettungsdienst,01,C,Lichtenberg,527.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
173,2026-01-01,Rettungsdienst,01,C,Marzahn-Hellersdorf,707.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
